make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
mini,cooper,f56,2013,2020,hatchback 3-doors,1.5 at,hatchback,,4,3821,1727,1414,2495,1501,1501,1115,,124,,450,,,,1595,900/755,211,,,211,220,direct injection,,inline,3,,gasoline,4,turbo,82,94,,,4000,,present,1499,136,6000,front wheel drive,,6,10.8,automatic,4.7,"680|1,000",euro vi,40,7.8,210,5.9,,"98, 95, 92",4,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,f56,2013,2020,hatchback 3-doors,1.5 d amt,hatchback,,4,3821,1727,1414,2495,1501,1501,1185,,143,,465,,,,1650,945/755,211,,,211,270,common rail,,inline,3,,diesel,4,turbo,84,90,,,2250,,present,1496,116,4000,front wheel drive,,7,10.8,robot,3.8,"950|1,140",euro vi,40,9.3,204,4.2,,diesel,3.5,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,f56,2013,2020,hatchback 3-doors,1.5 d mt,hatchback,,4,3821,1727,1414,2495,1501,1501,1165,,143,,470,,,,1635,930/755,211,,,211,270,common rail,,inline,3,,diesel,4,turbo,84,90,,,2250,,present,1496,116,4000,front wheel drive,,6,10.8,manual,3.8,"930|1,140",euro vi,40,9.2,205,4.3,,diesel,3.5,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,f56,2013,2020,hatchback 3-doors,1.5 mt,hatchback,,4,3821,1727,1414,2495,1501,1501,1085,,124,,450,,,,1565,870/755,211,,,211,220,direct injection,,inline,3,,gasoline,4,turbo,82,94,,,4000,,present,1499,136,6000,front wheel drive,,6,10.8,manual,4.5,"700|1,050",euro vi,40,7.9,210,5.7,,"98, 95, 92",3.8,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,f56,2013,2020,hatchback 5-doors,1.5 at,hatchback,,5,3892,1727,1425,2567,1501,1501,1175,,146,,520,,,,1700,940/835,941,,,278,230,direct injection,,inline,3,,gasoline,4,turbo,82,94,,,4000,,present,1499,136,6000,front wheel drive,,6,11,automatic,4.8,670|980,euro vi,40,8.1,207,6,,"98, 95, 92",4.1,"independent, multi wishbone, trailing arms",disc,ventilated disc,"independent, mcpherson struts, strut",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,f56,2013,2020,hatchback 5-doors,1.5 d amt,hatchback,,5,3821,1727,1414,2495,1501,1501,1205,,143,,535,,,,1740,950/850,211,,,211,270,common rail,,inline,3,,diesel,4,turbo,84,90,,,2250,,present,1496,116,4000,front wheel drive,,7,10.8,robot,3.9,"930|1,110",euro vi,40,9.6,202,4.3,,diesel,3.6,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,f56,2013,2020,hatchback 5-doors,1.5 d mt,hatchback,,5,3821,1727,1414,2495,1501,1501,1205,,143,,535,,,,1740,950/850,211,,,211,270,common rail,,inline,3,,diesel,4,turbo,84,90,,,2250,,present,1496,116,4000,front wheel drive,,6,10.8,manual,3.8,"930|1,140",euro vi,40,9.4,203,4.3,,diesel,3.5,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,f56,2013,2020,hatchback 5-doors,1.5 mt,hatchback,,5,3892,1727,1425,2567,1501,1501,1145,,146,,520,,,,1670,910/835,941,,,278,230,direct injection,,inline,3,,gasoline,4,turbo,82,94,,,4000,,present,1499,136,6000,front wheel drive,,6,11,manual,4.7,"680|1,000",euro vi,40,8.2,207,5.9,,"98, 95, 92",4,"independent, multi wishbone, trailing arms",disc,ventilated disc,"independent, mcpherson struts, strut",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,f56,2013,2020,john cooper works hatchback 3-doors,2.0 at,hatchback,,4,3874,1727,1414,2495,1485,1485,1295,,143,,,,,,,,731,,,211,320,direct injection,,inline,4,,gasoline,4,turbo,82,94,,,4800,,,1998,231,6000,front wheel drive,,6,,automatic,5.7,610|900,euro vi,44,6.1,246,7.2,,95,4.9,"independent, spring",disc,ventilated disc,"independent, spring",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r50,2001,2004,hatchback,1.6 cvt,hatchback,,4,3626,1688,1408,2467,1458,1466,1065,,140,2155,430,,,,1495,,670,,,160,149,multi-point fuel injection,,inline,4,,gasoline,4,,77,85,,,4500,,,1598,116,6000,front wheel drive,,6,10.7,continuously variable transmission (cvt),7.7,460|850,euro iii,50,10.4,185,10.9,,92,5.9,"independent, lever, dampers, spring",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r50,2001,2004,hatchback,1.6 mt,hatchback,,4,3626,1688,1408,2467,1458,1466,1041,,140,2130,429,,,,1470,,670,,,160,149,multi-point fuel injection,,inline,4,,gasoline,4,,77,85,,,4500,,,1598,116,6000,front wheel drive,,5,10.7,manual,6.7,560|940,euro iii,50,9.2,200,9,,92,5.3,"independent, lever, dampers, spring",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r50 [redesign],2004,2006,hatchback,1.6 cvt,hatchback,,4,3626,1688,1408,2467,1458,1466,1065,,140,2155,430,,,,1495,,670,,,160,149,multi-point fuel injection,,inline,4,,gasoline,4,,77,85,,,4500,,,1598,116,6000,front wheel drive,,6,10.7,continuously variable transmission (cvt),7.7,460|850,euro iii,50,10.4,185,10.9,,92,5.9,"independent, lever, dampers, spring",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r50 [redesign],2004,2006,hatchback,1.6 mt,hatchback,,4,3626,1688,1408,2467,1458,1466,1041,,140,2130,429,,,,1470,,670,,,160,149,multi-point fuel injection,,inline,4,,gasoline,4,,77,85,,,4500,,,1598,116,6000,front wheel drive,,5,10.7,manual,6.7,560|940,euro iii,50,9.2,200,9,,92,5.3,"independent, lever, dampers, spring",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r50 [redesign],2004,2006,hatchback,jcw 1.6 mt,hatchback,,4,3626,1688,1408,2467,1458,1466,1140,,140,,430,,,,1570,,670,,,160,245,multi-point fuel injection,,inline,4,,gasoline,4,compressor,77,85,,,4500,,,1598,210,6950,front wheel drive,,6,10.7,manual,8.6,420|740,euro iii,50,6.6,230,11.8,,95,6.8,"independent, lever, dampers, spring",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r50 [redesign],2004,2006,hatchback,jcw gp 1.6 mt,hatchback,,4,3626,1688,1408,2467,1458,1466,1105,,140,,295,,,,1400,,670,,,160,250,multi-point fuel injection,,inline,4,,gasoline,4,compressor,77,85,,,4600,,,1598,218,4600,front wheel drive,,6,10.7,manual,,,euro iii,50,6.5,235,,,95,,"independent, lever, dampers, spring",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56,2006,2015,hatchback,1.6 at,hatchback,,4,3699,1683,1407,2467,1459,1467,1105,,140,2305,450,,,,1555,,680,,,160,160,multi-point fuel injection,,inline,4,,gasoline,4,,77,85,,,4000,,,1598,120,6000,front wheel drive,,6,10.7,automatic,6.7,430|770,euro v,40,10.4,197,9.3,,95,5.2,"independent, lever, dampers, helical springs",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56,2006,2015,hatchback,1.6 at,hatchback,,4,3699,1683,1407,2467,1459,1467,1100,,140,2200,450,,,,1550,,680,,,160,153,multi-point fuel injection,,inline,4,,gasoline,4,,77,85,,,3000,,,1598,98,6000,front wheel drive,,6,10.7,automatic,6.4,460|780,euro v,40,12.3,181,8.7,,95,5.1,"independent, lever, dampers, helical springs",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56,2006,2015,hatchback,1.6 d at,hatchback,,4,3699,1683,1407,2467,1459,1467,1120,,140,2320,450,,,,1570,,680,,,160,240,common rail,,inline,4,,diesel,4,turbo,75,88,,,2000,,present,1560,109,4000,front wheel drive,,6,10.7,automatic,5,620|950,euro iv,40,10.3,190,6.5,,diesel,4.2,"independent, lever, dampers, helical springs",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56,2006,2015,hatchback,1.6 d mt,hatchback,,4,3699,1683,1407,2467,1459,1467,1090,,140,2290,450,,,,1540,,680,,,160,240,common rail,,inline,4,,diesel,4,turbo,75,88,,,2000,,present,1560,109,4000,front wheel drive,,6,10.7,manual,3.9,"850|1,140",euro iv,40,9.9,195,4.7,,diesel,3.5,"independent, lever, dampers, helical springs",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56,2006,2015,hatchback,1.6 mt,hatchback,,4,3699,1683,1407,2467,1459,1467,1060,,140,2110,450,,,,1510,,680,,,160,160,multi-point fuel injection,,inline,4,,gasoline,4,,77,85,,,4000,,,1598,120,6000,front wheel drive,,6,10.7,manual,5.8,510|870,euro v,40,9.1,203,7.8,,95,4.6,"independent, lever, dampers, helical springs",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56,2006,2015,hatchback,1.6 mt,hatchback,,4,3699,1683,1407,2467,1459,1467,1060,,140,2110,450,,,,1510,,680,,,160,153,multi-point fuel injection,,inline,4,,gasoline,4,,77,85,,,3000,,,1598,98,6000,front wheel drive,,6,10.7,manual,5.4,560|910,euro v,40,10.5,186,7.2,,95,4.4,"independent, lever, dampers, helical springs",disc,ventilated disc,"independent, mcpherson struts, dampers, helical springs, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56,2006,2015,john cooper works hatchback 3-doors,1.6 mt,hatchback,,4,3729,1683,1407,2467,1453,1461,1140,,,,,,,,1580,,680,,,160,260,direct injection,,inline,4,,gasoline,4,turbo,,,,,5600,,present,1598,211,6000,front wheel drive,,6,,manual,7.1,530|860,euro iv,50,6.5,238,9.4,,95,5.8,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56 [redesign],2010,2015,gp hatchback 3-doors,1.6 mt,hatchback,,2,3774,1683,1393,2467,1473,1466,1160,,,,300,,,,1460,830/605,,,,,260,direct injection,,inline,4,,gasoline,4,turbo,77,85,,,5750,,present,1598,218,6000,front wheel drive,,6,12,manual,7.1,530|880,euro v,50,6.3,242,9.5,,"98, 95, 92",5.7,"independent, multi wishbone, spring, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56 [redesign],2010,2015,hatchback 3-doors,1.6 at,hatchback,,4,3723,1683,1407,2467,1459,1467,1150,,140,,,,,,1525,,680,,,160,160,direct injection,,inline,4,,gasoline,4,,,,,,4250,,,1598,122,6000,front wheel drive,,6,10.8,automatic,6.5,440|800,,40,9.1,203,9.1,,95,5,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper,r56 [redesign],2010,2015,hatchback 3-doors,1.6 mt,hatchback,,4,3723,1683,1407,2467,1459,1467,1075,,140,,,,,,1525,,680,,,160,160,direct injection,,inline,4,,gasoline,4,,,,,,4250,,,1598,122,6000,front wheel drive,,6,10.8,manual,5.4,580|870,,40,9.1,203,6.9,,95,4.6,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper s,f56,2014,2020,hatchback 3-doors,2.0 at,hatchback,,4,3850,1727,1414,2595,1485,1485,1175,,124,,450,,,,1655,930/765,211,,,211,280,direct injection,,inline,4,,gasoline,4,turbo,82,94,,,4750,,present,1998,192,6000,front wheel drive,,6,10.8,automatic,5.2,"650|1,000",euro vi,44,6.7,233,6.8,,"98, 95, 92",4.4,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper s,f56,2014,2020,hatchback 3-doors,2.0 d at,hatchback,,4,3850,1727,1414,2595,1485,1485,1240,,124,,460,,,,1700,975/765,211,,,211,360,common rail,,inline,4,,diesel,4,turbo,84,90,,,2500,,present,1995,170,4000,front wheel drive,,8,10.8,automatic,4.1,"960|1,130",euro vi,44,7.2,225,4.6,,diesel,3.9,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
mini,cooper s,f56,2014,2020,hatchback 3-doors,2.0 mt,hatchback,,4,3850,1727,1414,2495,1485,1485,1160,,124,,450,,,,1640,915/765,211,,,211,280,direct injection,,inline,4,,gasoline,4,turbo,82,94,,,4750,,present,1998,192,6000,front wheel drive,,6,10.8,manual,5.7,580|960,euro vi,44,6.8,235,7.6,,"98, 95, 92",4.6,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,681299,1159710,119313,1960322
